Route,Day,Stop 1,Stop 1 Time,Stop 2,Stop 2 Time,Stop 3,Stop 3 Time,Stop 4,Stop 4 Time,Stop 5,Stop 5 Time
Westside Inbound,Monday-Friday,UDC,9:45 PM,Main & Murray,10:00 PM,Floral & Main,,Return to Campus,,,
Main Street Outbound,Monday-Friday,Union,7:30 AM,Pharmacy School,7:39 AM,Main & Floral,7:42 AM,Main & Murray,7:48 AM,UDC,8:00 AM
Main Street Outbound,Monday-Friday,Union,8:30 AM,Pharmacy School,8:39 AM,Main & Floral,8:42 AM,Main & Murray,8:48 AM,UDC,9:00 AM
Main Street Outbound,Monday-Friday,Union,9:30 AM,Pharmacy School,9:39 AM,Main & Floral,9:42 AM,Main & Murray,9:48 AM,UDC,10:00 AM
Main Street Outbound,Monday-Friday,Union,10:30 AM,Pharmacy School,10:39 AM,Main & Floral,10:42 AM,Main & Murray,10:48 AM,UDC,11:00 AM
Main Street Outbound,Monday-Friday,Union,11:30 AM,Pharmacy School,11:39 AM,Main & Floral,11:42 AM,Main & Murray,11:48 AM,UDC,12:00 PM
Main Street Outbound,Monday-Friday,Union,12:30 PM,Pharmacy School,12:39 PM,Main & Floral,12:42 PM,Main & Murray,12:48 PM,UDC,1:00 PM
Main Street Outbound,Monday-Friday,Union,1:30 PM,Pharmacy School,1:39 PM,Main & Floral,1:42 PM,Main & Murray,1:48 PM,UDC,2:00 PM
Main Street Outbound,Monday-Friday,Union,2:30 PM,Pharmacy School,2:39 PM,Main & Floral,2:42 PM,Main & Murray,2:48 PM,UDC,3:00 PM
Main Street Outbound,Monday-Friday,Union,3:30 PM,Pharmacy School,3:39 PM,Main & Floral,3:42 PM,Main & Murray,3:48 PM,UDC,4:00 PM
Main Street Outbound,Monday-Friday,Union,4:30 PM,Pharmacy School,4:39 PM,Main & Floral,4:42 PM,Main & Murray,4:48 PM,UDC,5:00 PM
Main Street Outbound,Monday-Friday,Union,5:30 PM,Pharmacy School,5:39 PM,Main & Floral,5:42 PM,Main & Murray,5:48 PM,UDC,6:00 PM
Main Street Outbound,Monday-Friday,Union,6:30 PM,Pharmacy School,6:39 PM,Main & Floral,6:42 PM,Main & Murray,6:48 PM,UDC,7:00 PM
Main Street Outbound,Monday-Friday,Union,7:30 PM,Pharmacy School,7:39 PM,Main & Floral,7:42 PM,Main & Murray,7:48 PM,UDC,8:00 PM
