Route,Day,Stop 1,Stop 1 Time,Stop 2,Stop 2 Time,Stop 3,Stop 3 Time,Stop 4,Stop 4 Time,Stop 5,Stop 5 Time
Westside Outbound,Saturday-Sunday,Union,7:30 PM,Floral & Main,7:39 PM,Main & Murray,7:45 PM,UDC,7:55 PM,,
Westside Outbound,Saturday-Sunday,Union,8:30 PM,Floral & Main,8:39 PM,Main & Murray,8:45 PM,UDC,8:55 PM,,
Westside Outbound,Sunday,Union,9:15 PM,Floral & Main,9:24 PM,Main & Murray,9:30 PM,UDC,9:40 PM,,
Westside Outbound,Saturday,Union,9:45 PM,Floral & Main,9:54 PM,Main & Murray,10:00 PM,UDC,10:10 PM,,
Westside Outbound,Sunday,Union,10:00 PM,Floral & Main,10:09 PM,Main & Murray,10:15 PM,UDC,10:25 PM,,
Westside Outbound,Saturday-Sunday,Union,10:45 PM,Floral & Main,10:54 PM,Main & Murray,11:00 PM,UDC,11:10 PM,,
Westside Outbound,Saturday-Sunday,Union,11:15 PM,Floral & Main,11:24 PM,Main & Murray,11:30 PM,UDC,11:40 PM,,
Westside Outbound,Sunday,Union,11:30 PM,Floral & Main,11:39 PM,Main & Murray,11:45 PM,UDC,11:55 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,10:55 AM,Leroy & Murray,10:58 AM,Riverside & Columbus,11:04 AM,Return to Campus,11:15 AM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,11:25 AM,Leroy & Murray,11:28 AM,Riverside & Columbus,11:34 AM,Return to Campus,11:45 AM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,12:40 PM,Leroy & Murray,12:43 PM,Riverside & Columbus,12:49 PM,Return to Campus,1:00 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,1:25 PM,Leroy & Murray,1:28 PM,Riverside & Columbus,1:34 PM,Return to Campus,1:45 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,2:25 PM,Leroy & Murray,2:28 PM,Riverside & Columbus,2:34 PM,Return to Campus,2:45 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,3:10 PM,Leroy & Murray,3:13 PM,Riverside & Columbus,3:19 PM,Return to Campus,3:30 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,3:55 PM,Leroy & Murray,3:58 PM,Riverside & Columbus,4:04 PM,Return to Campus,4:15 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,4:55 PM,Leroy & Murray,4:58 PM,Riverside & Columbus,5:04 PM,Return to Campus,5:15 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,5:55 PM,Leroy & Murray,5:58 PM,Riverside & Columbus,6:04 PM,Return to Campus,6:15 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,6:10 PM,Leroy & Murray,6:13 PM,Riverside & Columbus,6:19 PM,Return to Campus,6:30 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,7:10 PM,Leroy & Murray,7:13 PM,Riverside & Columbus,7:19 PM,Return to Campus,7:30 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,7:55 PM,Leroy & Murray,7:58 PM,Riverside & Columbus,8:04 PM,Return to Campus,8:15 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,8:55 PM,Leroy & Murray,8:58 PM,Riverside & Columbus,9:04 PM,Return to Campus,9:15 PM,,
